iata,name,city,state,country,latitude,longitude
Z11207,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6709,-73.8942
Z11208,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6727,-73.8725
Z11220,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6414,-74.0157
Z11222,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.7263,-73.9456
Z11232,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6555,-74.0042
Z11234,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6186,-73.9216
Z11236,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.6405,-73.9036
Z11237,"3rd Party-Brooklyn-NY",Brooklyn,NY,USA,40.7034,-73.9199
Z11356,"3rd Party-College Point-NY","College Point",NY,USA,40.7855,-73.8437
Z11368,"3rd Party-Corona-NY",Corona,NY,USA,40.7471,-73.8584
Z11377,"3rd Party-Woodside-NY",Woodside,NY,USA,40.7429,-73.9038
Z11378,"3rd Party-Maspeth-NY",Maspeth,NY,USA,40.7241,-73.9027
Z11385,"3rd Party-Ridgewood-NY",Ridgewood,NY,USA,40.7031,-73.8929
