origin,destination,count
34.0018-117.528,47.1963-122.316,146.4176344390869
33.455-84.1721,33.744-84.5603,146.26417817993163
33.455-84.1721,25.9587-80.1794,145.970481161499
41.6887-112.223,47.3037-122.266,145.9590849609375
39.0766-94.7902,35.8253-88.9022,145.75151743164062
40.5693-75.5889,41.8093-87.7105,144.81242579319476
40.8556-96.713,42.484-90.5894,144.62333975219727
35.8406-80.8799,30.4116-81.7665,144.54943046875
41.2052-95.9554,37.8064-122.289,143.41740011596679
35.8406-80.8799,42.0553-75.8122,143.11494453125
46.7284-122.951,47.7203-116.946,143.0099833984375
41.8857-88.3196,43.0656-89.3208,142.91319081420897
38.1417-85.8637,35.4707-86.4597,142.2845528076172
41.6376-93.6164,39.8026-84.302,141.6144455078125
34.0018-117.528,46.2601-119.906,140.96995866088866
32.7984-97.354,33.8911-117.273,140.83175810546874
39.0766-94.7902,30.4015-89.7692,140.42947772064207
41.6887-112.223,47.7203-116.946,140.4165261138916
32.8036-96.5696,32.3509-97.4103,140.2304490509033
32.8036-96.5696,34.7417-97.2285,139.343271402359
41.2052-95.9554,41.507-72.9049,139.14016007995605
41.8857-88.3196,46.9003-96.8002,137.69837345952988
40.5693-75.5889,38.5922-121.528,137.30567152283191
40.5693-75.5889,40.3007-76.8853,137.2536663330078
32.8036-96.5696,31.0995-97.3577,136.42847890224456
41.6887-112.223,41.3706-88.4075,136.42148205566406
46.7284-122.951,47.3037-122.266,136.39536952514646
39.0766-94.7902,33.2368-97.1694,136.38468126831054
39.9266-83.8128,41.3526-85.0479,135.82185830154418
32.8036-96.5696,29.7492-98.1765,135.62945729656218
39.0766-94.7902,35.4168-97.6279,135.34827628173826
39.0766-94.7902,39.9838-90.7413,134.60610840082168
41.6887-112.223,41.4729-87.6877,133.97649023437498
32.7984-97.354,28.4635-81.3881,133.85304028320311
39.9266-83.8128,40.4868-85.6077,133.47636058883666
39.9266-83.8128,39.1448-76.7877,133.1335425701618
39.0766-94.7902,33.6763-84.4498,132.405105859375
39.0766-94.7902,35.0168-89.847,132.30422988281248
41.8857-88.3196,41.1294-100.775,132.2574893749237
40.5693-75.5889,40.3365-74.433,132.0523738769531
41.6887-112.223,27.6488-99.5337,131.13289001464844
35.8406-80.8799,40.7849-73.1992,131.00273476562498
32.8036-96.5696,34.7861-106.705,130.8387748031616
41.8857-88.3196,41.7219-88.3297,130.80879068946837
40.8556-96.713,27.6488-99.5337,130.3772845703125
40.5693-75.5889,40.8476-74.0875,130.02128720703124
26.172-98.2504,43.7406-88.523,129.876
40.974-91.572,42.0553-75.8122,129.4788479736328
32.7984-97.354,42.5322-83.5338,129.41368037109373
41.8857-88.3196,45.0764-93.1934,128.72552721557616
41.8857-88.3196,43.1059-76.1936,128.6920146484375
32.8036-96.5696,33.841-118.01,128.6282873046875
39.0766-94.7902,40.1096-88.2125,128.62030859184264
39.0766-94.7902,39.7426-86.1177,128.33674712524413
32.7984-97.354,32.9156-96.674,128.2265436279297
33.455-84.1721,28.4949-81.2895,128.1036284128189
41.8857-88.3196,41.9809-88.1445,128.05846734409332
33.455-84.1721,36.8552-76.2123,128.0194130142212
34.0018-117.528,41.0722-111.976,128.01177932586668
41.8857-88.3196,32.6303-97.271,127.00794041442872
