iata,name,state,country,latitude,longitude,lineage,zipcoderegion
34.1076-118.227,Destination-Los Angeles-CA,CA,USA,34.1076,-118.227,0,90
34.108-84.4843,Destination-Woodstock-GA,GA,USA,34.108,-84.4843,0,30
34.1095-117.376,Destination-Rialto-CA,CA,USA,34.1095,-117.376,0,92
34.11-117.72,Destination-Claremont-CA,CA,USA,34.11,-117.72,0,91
34.1104-118.258,Destination-Los Angeles-CA,CA,USA,34.1104,-118.258,0,90
34.1118-93.0558,Destination-Arkadelphia-AR,AR,USA,34.1118,-93.0558,0,71
34.1126-83.5825,Destination-Jefferson-GA,GA,USA,34.1126,-83.5825,0,30
34.1138-84.9727,Destination-Taylorsville-GA,GA,USA,34.1138,-84.9727,0,30
34.1146-118.192,Destination-Los Angeles-CA,CA,USA,34.1146,-118.192,0,90
34.1176-84.5718,Destination-Woodstock-GA,GA,USA,34.1176,-84.5718,0,30
34.1192-117.855,Destination-Glendora-CA,CA,USA,34.1192,-117.855,0,91
34.1192-84.3029,Destination-Alpharetta-GA,GA,USA,34.1192,-84.3029,0,30
34.12-82.825,Destination-Elberton-GA,GA,USA,34.12,-82.825,0,30
34.1205-117.318,Destination-San Bernardino-CA,CA,USA,34.1205,-117.318,0,92
34.122-83.786,Destination-Braselton-GA,GA,USA,34.122,-83.786,0,30
34.1251-117.458,Destination-Fontana-CA,CA,USA,34.1251,-117.458,0,92
34.127-118.052,Destination-Arcadia-CA,CA,USA,34.127,-118.052,0,91
34.1272-117.201,Destination-Highland-CA,CA,USA,34.1272,-117.201,0,92
34.1278-117.525,Destination-Rancho Cucamonga-CA,CA,USA,34.1278,-117.525,0,91
34.1289-117.903,Destination-Azusa-CA,CA,USA,34.1289,-117.903,0,91
34.1317-117.592,Destination-Alta Loma-CA,CA,USA,34.1317,-117.592,0,91
34.1335-118.665,Destination-Calabasas-CA,CA,USA,34.1335,-118.665,0,91
34.1341-118.027,Destination-Arcadia-CA,CA,USA,34.1341,-118.027,0,91
34.1379-118.163,Destination-Pasadena-CA,CA,USA,34.1379,-118.163,0,91
34.1395-118.761,Destination-Agoura Hills-CA,CA,USA,34.1395,-118.761,0,91
34.1395-80.8878,Destination-Columbia-SC,SC,USA,34.1395,-80.8878,0,29
34.1408-118.002,Destination-Monrovia-CA,CA,USA,34.1408,-118.002,0,91
