iata,name,state,country,latitude,longitude,lineage
Z21795,Origin-Williamsport-MD,MD,USA,39.6001,-77.8158,0
Z21851,Origin-Pocomoke City-MD,MD,USA,38.0694,-75.548,0
Z22312,Origin-Alexandria-VA,VA,USA,38.8175,-77.1536,0
Z22488,Origin-Kinsale-VA,VA,USA,38.0465,-76.5792,0
Z22601,Origin-Winchester-VA,VA,USA,39.1791,-78.1665,0
Z22657,Origin-Strasburg-VA,VA,USA,39.0013,-78.3648,0
Z22718,Origin-Elkwood-VA,VA,USA,38.4936,-77.8206,0
Z22801,Origin-Harrisonburg-VA,VA,USA,38.4268,-78.8815,0
Z22802,Origin-Harrisonburg-VA,VA,USA,38.4778,-78.863,0
Z22815,Origin-Broadway-VA,VA,USA,38.6197,-78.8051,0
Z22824,Origin-Edinburg-VA,VA,USA,38.8287,-78.6096,0
Z22842,Origin-Mount Jackson-VA,VA,USA,38.7724,-78.6946,0
Z22853,Origin-Timberville-VA,VA,USA,38.6416,-78.7626,0
Z22922,Origin-Arrington-VA,VA,USA,37.6948,-78.9324,0
Z22952,Origin-Lyndhurst-VA,VA,USA,37.9697,-78.9571,0
Z23005,Origin-Ashland-VA,VA,USA,37.7543,-77.4746,0
Z23150,Origin-Sandston-VA,VA,USA,37.5178,-77.2867,0
Z23224,Origin-Richmond-VA,VA,USA,37.5052,-77.461,0
Z23228,Origin-Richmond-VA,VA,USA,37.6218,-77.4889,0
Z23236,Origin-Richmond-VA,VA,USA,37.4758,-77.5823,0
Z23323,Origin-Chesapeake-VA,VA,USA,36.7578,-76.3357,0
Z23430,Origin-Smithfield-VA,VA,USA,36.9789,-76.6397,0
Z23435,Origin-Suffolk-VA,VA,USA,36.8488,-76.4652,0
Z23451,Origin-Virginia Beach-VA,VA,USA,36.8649,-76.0009,0
Z23502,Origin-Norfolk-VA,VA,USA,36.8552,-76.2123,0
Z23504,Origin-Norfolk-VA,VA,USA,36.8594,-76.2702,0
Z23603,Origin-Newport News-VA,VA,USA,37.1937,-76.5717,0
Z23606,Origin-Newport News-VA,VA,USA,37.0783,-76.4944,0
Z23663,Origin-Hampton-VA,VA,USA,37.0315,-76.3164,0
Z23804,Origin-Petersburg-VA,VA,USA,37.2048,-77.3927,0
Z23875,Origin-Prince George-VA,VA,USA,37.236,-77.3025,0
Z23883,Origin-Surry-VA,VA,USA,37.1406,-76.7433,0
Z24012,Origin-Roanoke-VA,VA,USA,37.3058,-79.9276,0
Z24016,Origin-Roanoke-VA,VA,USA,37.2722,-79.9531,0
Z24019,Origin-Roanoke-VA,VA,USA,37.3415,-79.9504,0
Z24084,Origin-Dublin-VA,VA,USA,37.1073,-80.6738,0
Z24153,Destination-Salem-VA,VA,USA,37.2889,-80.0782,1
Z24184,Origin-Wirtz-VA,VA,USA,37.0688,-79.7491,0
Z24212,Origin-Abingdon-VA,VA,USA,36.691,-81.9707,0
Z24382,Origin-Wytheville-VA,VA,USA,36.9475,-81.0943,0
Z24450,Origin-Lexington-VA,VA,USA,37.7944,-79.4765,0
Z24517,Origin-Altavista-VA,VA,USA,37.1276,-79.274,0
Z24550,Origin-Evington-VA,VA,USA,37.238,-79.2826,0
Z25064,Origin-Dunbar-WV,WV,USA,38.3673,-81.7447,0
Z25082,Origin-Fraziers Bottom-WV,WV,USA,38.6218,-82.0282,0
Z25312,Origin-Charleston-WV,WV,USA,38.4142,-81.6616,0
Z25502,Origin-Apple Grove-WV,WV,USA,38.6696,-82.1265,0
Z25510,Origin-Culloden-WV,WV,USA,38.3996,-82.0656,0
Z25526,Destination-Hurricane-WV,WV,USA,38.427,-81.9895,1
Z25530,Origin-Kenova-WV,WV,USA,38.386,-82.5746,0
Z25541,Origin-Milton-WV,WV,USA,38.4404,-82.1353,0
Z25570,Origin-Wayne-WV,WV,USA,38.2251,-82.4391,0
Z25701,Origin-Huntington-WV,WV,USA,38.4036,-82.439,0
Z25702,Origin-Huntington-WV,WV,USA,38.4311,-82.3702,0
Z25812,Origin-Ansted-WV,WV,USA,38.1385,-81.104,0
Z25813,Origin-Beaver-WV,WV,USA,37.7547,-81.113,0
Z26120,Origin-Mineral Wells-WV,WV,USA,39.2183,-81.4978,0
Z26288,Origin-Webster Springs-WV,WV,USA,38.4849,-80.3802,0
Z26301,Origin-Clarksburg-WV,WV,USA,39.2813,-80.3434,0
Z26501,Origin-Morgantown-WV,WV,USA,39.6285,-79.9879,0
Z26836,Origin-Moorefield-WV,WV,USA,39.0382,-78.9719,0
Z27006,Origin-Advance-NC,NC,USA,35.9548,-80.4413,0
Z27055,Origin-Yadkinville-NC,NC,USA,36.123,-80.6455,0
Z27101,Origin-Winston Salem-NC,NC,USA,36.1071,-80.2192,0
Z27103,Origin-Winston Salem-NC,NC,USA,36.0666,-80.3073,0
Z27107,Origin-Winston Salem-NC,NC,USA,36.0463,-80.1899,0
Z27214,Origin-Browns Summit-NC,NC,USA,36.2058,-79.6983,0
Z27235,Origin-Colfax-NC,NC,USA,36.0921,-80.01,0
Z27253,Origin-Graham-NC,NC,USA,36.0319,-79.3781,0
Z27260,Origin-High Point-NC,NC,USA,35.9505,-79.9934,0
Z27262,Origin-High Point-NC,NC,USA,35.9646,-80.0223,0
Z27263,Origin-High Point-NC,NC,USA,35.9146,-79.9606,0
Z27284,Origin-Kernersville-NC,NC,USA,36.1199,-80.0872,0
Z27292,Origin-Lexington-NC,NC,USA,35.7758,-80.2317,0
Z27330,Origin-Sanford-NC,NC,USA,35.4589,-79.1641,0
Z27344,Origin-Siler City-NC,NC,USA,35.7298,-79.4498,0
Z27406,Origin-Greensboro-NC,NC,USA,36.0229,-79.7789,0
Z27407,Origin-Greensboro-NC,NC,USA,36.0254,-79.8711,0
Z27409,Origin-Greensboro-NC,NC,USA,36.084,-79.9412,0
Z27504,Origin-Benson-NC,NC,USA,35.3905,-78.5315,0
Z27520,Origin-Clayton-NC,NC,USA,35.6354,-78.4489,0
Z27524,Origin-Four Oaks-NC,NC,USA,35.4152,-78.4212,0
Z27534,Origin-Goldsboro-NC,NC,USA,35.3771,-77.9246,0
Z27536,Origin-Henderson-NC,NC,USA,36.3407,-78.3942,0
Z27549,Origin-Louisburg-NC,NC,USA,36.0623,-78.2495,0
Z27555,Origin-Micro-NC,NC,USA,35.5622,-78.2034,0
Z27565,Origin-Oxford-NC,NC,USA,36.3405,-78.6159,0
Z27576,Origin-Selma-NC,NC,USA,35.558,-78.2648,0
Z27577,Origin-Smithfield-NC,NC,USA,35.5066,-78.3444,0
Z27597,Destination-Zebulon-NC,NC,USA,35.8481,-78.3013,1
Z27604,Origin-Raleigh-NC,NC,USA,35.8146,-78.5835,0
Z27616,Origin-Raleigh-NC,NC,USA,35.8655,-78.5493,0
Z27701,Origin-Durham-NC,NC,USA,35.9972,-78.8973,0
Z27801,Origin-Rocky Mount-NC,NC,USA,35.9352,-77.7707,0
Z27809,Origin-Battleboro-NC,NC,USA,36.0325,-77.7864,0
Z27839,Origin-Halifax-NC,NC,USA,36.3111,-77.5781,0
Z27851,Origin-Lucama-NC,NC,USA,35.6403,-78.0234,0
Z27860,Origin-Pantego-NC,NC,USA,35.6241,-76.6727,0
Z27877,Origin-Severn-NC,NC,USA,36.5152,-77.1843,0
Z27886,Origin-Tarboro-NC,NC,USA,35.9054,-77.5405,0
Z27893,Origin-Wilson-NC,NC,USA,35.7154,-77.9198,0
Z27932,Origin-Edenton-NC,NC,USA,36.0933,-76.6208,0
Z28021,Origin-Cherryville-NC,NC,USA,35.384,-81.3937,0
Z28027,Origin-Concord-NC,NC,USA,35.4057,-80.6381,0
Z28073,Origin-Grover-NC,NC,USA,35.1896,-81.4792,0
Z28078,Origin-Huntersville-NC,NC,USA,35.4096,-80.8636,0
Z28079,Origin-Indian Trail-NC,NC,USA,35.1052,-80.6209,0
Z28080,Origin-Iron Station-NC,NC,USA,35.4546,-81.1236,0
Z28086,Origin-Kings Mountain-NC,NC,USA,35.2412,-81.3614,0
Z28098,Origin-Lowell-NC,NC,USA,35.2673,-81.0994,0
Z28105,Origin-Matthews-NC,NC,USA,35.1169,-80.7163,0
Z28110,Origin-Monroe-NC,NC,USA,35.032,-80.56,0
Z28115,Origin-Mooresville-NC,NC,USA,35.5842,-80.8026,0
Z28117,Origin-Mooresville-NC,NC,USA,35.5719,-80.8923,0
Z28145,Origin-Salisbury-NC,NC,USA,35.6827,-80.4771,0
Z28160,Origin-Spindale-NC,NC,USA,35.3605,-81.925,0
Z28205,Origin-Charlotte-NC,NC,USA,35.2224,-80.7922,0
Z28206,Origin-Charlotte-NC,NC,USA,35.2484,-80.8274,0
Z28208,Origin-Charlotte-NC,NC,USA,35.2358,-80.8929,0
Z28211,Origin-Charlotte-NC,NC,USA,35.1701,-80.7985,0
Z28216,Origin-Charlotte-NC,NC,USA,35.287,-80.8789,0
Z28217,Origin-Charlotte-NC,NC,USA,35.1723,-80.8973,0
Z28269,Destination-Charlotte-NC,NC,USA,35.3293,-80.8048,1
Z28273,Origin-Charlotte-NC,NC,USA,35.1241,-80.9395,0
Z28290,Origin-Charlotte-NC,NC,USA,35.2601,-80.8041,0
Z28301,Origin-Fayetteville-NC,NC,USA,35.0424,-78.8412,0
Z28328,Origin-Clinton-NC,NC,USA,35.0002,-78.3342,0
Z28329,Origin-Clinton-NC,NC,USA,34.9941,-78.2777,0
Z28332,Origin-Dublin-NC,NC,USA,34.656,-78.7207,0
Z28333,Origin-Dudley-NC,NC,USA,35.2933,-78.0189,0
Z28334,Origin-Dunn-NC,NC,USA,35.3025,-78.6011,0
Z28358,Origin-Lumberton-NC,NC,USA,34.6209,-78.9898,0
Z28365,Origin-Mount Olive-NC,NC,USA,35.1846,-78.0605,0
Z28376,Origin-Raeford-NC,NC,USA,34.9922,-79.23,0
Z28392,Origin-Tar Heel-NC,NC,USA,34.7428,-78.8064,0
Z28393,Origin-Turkey-NC,NC,USA,34.9898,-78.1855,0
Z28398,Origin-Warsaw-NC,NC,USA,34.993,-78.084,0
Z28403,Origin-Wilmington-NC,NC,USA,34.2215,-77.8844,0
Z28405,Origin-Wilmington-NC,NC,USA,34.2543,-77.8724,0
Z28431,Origin-Chadbourn-NC,NC,USA,34.3124,-78.8302,0
Z28433,Origin-Clarkton-NC,NC,USA,34.4912,-78.6436,0
Z28458,Origin-Rose Hill-NC,NC,USA,34.8225,-78.0417,0
Z28461,Origin-Southport-NC,NC,USA,33.9632,-78.0574,0
Z28464,Origin-Teachey-NC,NC,USA,34.7723,-78.0139,0
Z28472,Origin-Whiteville-NC,NC,USA,34.3121,-78.7077,0
Z28501,Origin-Kinston-NC,NC,USA,35.2609,-77.5646,0
Z28504,Origin-Kinston-NC,NC,USA,35.2648,-77.6248,0
Z28513,Origin-Ayden-NC,NC,USA,35.4631,-77.4161,0
Z28601,Origin-Hickory-NC,NC,USA,35.76,-81.3301,0
Z28607,Origin-Boone-NC,NC,USA,36.2128,-81.6625,0
Z28613,Origin-Conover-NC,NC,USA,35.7203,-81.2146,0
Z28618,Origin-Deep Gap-NC,NC,USA,36.1979,-81.5227,0
Z28625,Origin-Statesville-NC,NC,USA,35.8406,-80.8799,0
Z28655,Origin-Morganton-NC,NC,USA,35.7428,-81.7162,0
Z28658,Origin-Newton-NC,NC,USA,35.6535,-81.2344,0
Z28677,Origin-Statesville-NC,NC,USA,35.7658,-80.8981,0
Z28681,Origin-Taylorsville-NC,NC,USA,35.9143,-81.2083,0
Z28690,Origin-Valdese-NC,NC,USA,35.7404,-81.568,0
Z28712,Origin-Brevard-NC,NC,USA,35.1881,-82.7579,0
Z28715,Origin-Candler-NC,NC,USA,35.5299,-82.7045,0
Z28731,Origin-Flat Rock-NC,NC,USA,35.2708,-82.4152,0
Z28792,Origin-Hendersonville-NC,NC,USA,35.3539,-82.4162,0
Z28803,Origin-Asheville-NC,NC,USA,35.5418,-82.523,0
Z28806,Origin-Asheville-NC,NC,USA,35.5759,-82.6061,0
Z29053,Origin-Gaston-SC,SC,USA,33.8304,-81.0921,0
Z29070,Origin-Leesville-SC,SC,USA,33.9314,-81.4649,0
Z29072,Destination-Lexington-SC,SC,USA,33.9914,-81.2504,1
Z29127,Origin-Prosperity-SC,SC,USA,34.1486,-81.5109,0
Z29129,Origin-Ridge Spring-SC,SC,USA,33.8044,-81.6557,0
Z29154,Origin-Sumter-SC,SC,USA,33.8992,-80.4343,0
Z29170,Origin-West Columbia-SC,SC,USA,33.9433,-81.1413,0
Z29172,Origin-West Columbia-SC,SC,USA,33.9023,-81.0825,0
